id,Answer
0,"A,B,C,D"
1,"A,B,C,E"
2,"A"
3,"A,D"
4,"C,D"
5,"A,C,D,E"
6,"A,D,E"
7,"D,E"
8,"B,D,E"
9,"B,C,D"
10,"D,E"
11,"B,C"
12,"C"
13,"A,B,C,D,E"
14,"A,E"
15,"A,B,D,E"
16,"A,C"
17,"A,B,D"
18,"A,B,E"
19,"A,B,D,E"
20,"A,C,D,E"
21,"B"
22,"A,D"
23,"A,D,E"
24,"A,B,C"
25,"B,D,E"
26,"A"
27,"A,C,E"
28,"D,E"
29,"A,B,C"
30,"B,C,D"
31,"A,E"
32,"B,C,E"
33,"D"
34,"A,C,D,E"
35,"B,D,E"
36,"B,C,E"
37,"A,B,C,E"
38,"B,C,E"
39,"A,C,E"
40,"A,C,D"
41,"A,C"
42,"A,B,D,E"
43,"A,B,C"
44,"A,C,D,E"
45,"B,C"
46,"A,C,D,E"
47,"C,D"
48,"A,C"
49,"B"
50,"A,B,C,E"
51,"A"
52,"A,B,D"
53,"A,C,D"
54,"B,D,E"
55,"D,E"
56,"A,B,C"
57,"A,B"
58,"C"
59,"B,E"
60,"B,D,E"
61,"A,B,D"
62,"A,B,C,D,E"
63,"D,E"
64,"A,B,C"
65,"D"
66,"B,D,E"
67,"C,D,E"
68,"B,C,D"
69,"A"
70,"B,D"
71,"C,E"
72,"D,E"
73,"A,D,E"
74,"A,B,C"
75,"B,C"
76,"A,B"
77,"A,D"
78,"A"
79,"A,B"
80,"A,D,E"
81,"D,E"
82,"A,B,C,D,E"
83,"B,C,D"
84,"A,B,E"
85,"A,B,C,D,E"
86,"C,D,E"
87,"A,B,C,D"
88,"A,E"
89,"B,D,E"
90,"B,D"
91,"A,B,D"
92,"A,C,D"
93,"B,C,D,E"
94,"D"
95,"D,E"
96,"A,B,D,E"
97,"A,B,C,D"
98,"A"
99,"A,D"
100,"C,D,E"
101,"A,E"
102,"A,B,C"